"old_name","new_name","module","source_file","keep_old_alias","status"
"MRGVAR_Select","mrgvar_select_","model_selection.R","MRGVAR_c.R",TRUE,"proposed"
"MRGVARData","mrgvar_data","data_input.R","MRGVAR_c.R",TRUE,"proposed"
"MRGVARDataR","mrgvar_data_r","data_input.R","MRGVAR_c.R",TRUE,"proposed"
"MRGVARest","mrgvar_estimate","estimation.R","MRGVAR_c.R",TRUE,"proposed"
"MRVAR_Select","mrvar_select_","model_selection.R","MRVAR_c.R",TRUE,"proposed"
"MRVAR_Select_Summary","mrvar_select__summary","model_selection.R","MRVAR_c.R",TRUE,"proposed"
"MRVARData","mrvar_data","data_input.R","MRVAR_c.R",TRUE,"proposed"
"MRVARest","mrvar_estimate","estimation.R","MRVAR_c.R",TRUE,"proposed"
"NoutofT","sample_n_out_of_t","utils.R","VARs_functions_c.R",TRUE,"proposed"
"Redex","redex","utils.R","CIVAR_d.r",TRUE,"proposed"
"rnormSIGMA","rnorm_sigma","utils.R","VARs_functions_c.R",TRUE,"proposed"
"rnormSIGMA_cond","rnorm_sigma_cond","utils.R","VARs_functions_c.R",TRUE,"proposed"
"Roots2coef","roots_to_coef","utils.R","VARs_functions_c.R",TRUE,"proposed"
"RZSt2VECM","rz_st2_vecm","constraints.R","MRCIVAR_c.R",TRUE,"proposed"
"ShiftZ2","shift_z2","utils.R","VARs_functions_c.R",TRUE,"proposed"
"ShiftZ2m","shift_z2m","utils.R","VARs_functions_c.R",TRUE,"proposed"
"SigmaNPD","sigma_npd","diagnostics.R","MRGVAR_c.R",TRUE,"proposed"
"SigmaNPDSelectR","sigma_npd_select_r","model_selection.R","MRGVAR_c.R",TRUE,"proposed"
"STAT","spectral_radius","utils.R","CIVAR_d.r",TRUE,"proposed"
"strsplit1","strsplit1","utils.R","strsplit1.R",TRUE,"proposed"
"summaryCIVAR","summary_civar","utils.R","CIVAR_d.r",TRUE,"proposed"
"SW2comb","sw2comb","utils.R","GVAR_c.R",TRUE,"proposed"
"Type","infer_deterministic_type","utils.R","VAR_c.R",TRUE,"proposed"
"U1","u1","utils.R","MRVAR_c.R",TRUE,"proposed"
"VARB_commtrend","varb_commtrend","utils.R","CIGVAR_d.R",TRUE,"proposed"
"VARBS_commtrend","varbs_commtrend","utils.R","MRCIGVAR_d.R",TRUE,"proposed"
"VARData","var_data","data_input.R","VAR_c.R",TRUE,"proposed"
"VARest","var_estimate","estimation.R","VAR_c.R",TRUE,"proposed"
"VECM2VAR","vecm2_var","utils.R","CIVAR_d.r",TRUE,"proposed"
"VECM2VARm","vecm2_va_rm","utils.R","MRCIVAR_c.R",TRUE,"proposed"
"W2Wmat","w2_wmat","utils.R","GVAR_c.R",TRUE,"proposed"
"xABF","x_abf","utils.R","CIVAR_d.r",TRUE,"proposed"
