"old_name","module","source_file","new_name"
"strsplit1","utils.R","strsplit1.R","strsplit1"
"summaryCIVAR","utils.R","CIVAR_d.r","summary_civar"
"SW2comb","utils.R","GVAR_c.R","sw2comb"
"Type","utils.R","VAR_c.R","infer_deterministic_type"
"U1","utils.R","MRVAR_c.R","u1"
"VARB_commtrend","utils.R","CIGVAR_d.R","varb_commtrend"
"VARBS_commtrend","utils.R","MRCIGVAR_d.R","varbs_commtrend"
"VARData","data_input.R","VAR_c.R","var_data"
"VARest","estimation.R","VAR_c.R","var_estimate"
"VECM2VAR","utils.R","CIVAR_d.r","vecm2_var"
"VECM2VARm","utils.R","MRCIVAR_c.R","vecm2_va_rm"
"W2Wmat","utils.R","GVAR_c.R","w2_wmat"
"xABF","utils.R","CIVAR_d.r","x_abf"
